اسم الموقع,المحافظة,تصنيف الأثر,سعر المصري (جنيه),سعر الطالب المصري (جنيه),سعر الأجنبي (جنيه),سعر الطالب الأجنبي (جنيه),مواعيد الزيارة
مقابر المزوقة,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
قلاع الضبة وعين أصيل,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد دير الحجر,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
منطقة آثار عزبة بشندي,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
مدينة القصر - الداخلة,الوادي الجديد,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد هيبس,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,180,90.0,من 8ص إلى 5م
معبد الغويطة,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد دوش,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد الزيان,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
جبانة البجوات,الوادي الجديد,إسلامي وقبطي ويهودي,10.0,5.0,120,60.0,من 8ص إلى 5م
متحف الوادي الجديد,الوادي الجديد,متحف,10.0,5.0,150,75.0,من 9ص إلى 3م
معبد سيتي الأول - أبيدوس,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,230.0,من 7ص إلى 5م
معبد مريت آمون,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 7ص إلى 5م
كوم السلطان وشونة الزبيب,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 5م
منطقة الشيخ حمد,سوهاج,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 5م
مقابر الحواويش,سوهاج,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 5م
متحف سوهاج القومي,سوهاج,متحف,10.0,10.0,150,75.0,من 9ص إلى 3م
قصر الأمير يوسف كمال,قنا,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد دندرة,قنا,مصري ويوناني وروماني,10.0,10.0,320,150.0,من 7ص إلى 5م
بانوراما معبد دندرة,قنا,مصري ويوناني وروماني,10.0,,100,,من 7ص إلى 5م
سراديب معبد دندرة,قنا,مصري ويوناني وروماني,,50.0,100,,من 7ص إلى 5م
معبد إسنا,الأقصر,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 7ص إلى 5م (أحد/ثلاثاء/جمعة: 7ص-7م)
معبد الطود,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 5م
مقابر المعلا,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 5م
معابد الكرنك - يشمل طريق الكباش,الأقصر,مصري ويوناني وروماني,20.0,10.0,320,160.0,من 6ص إلى 5م
معبد موت بالكرنك,الأقصر,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 6ص إلى 5م
معبد الأقصر - يشمل طريق الكباش,الأقصر,مصري ويوناني وروماني,20.0,10.0,500,250.0,من 6ص إلى 8م
وادي الملوك,الأقصر,مصري ويوناني وروماني,20.0,30.0,750,375.0,من 6ص إلى 5م
مقبرة توت عنخ آمون - KV62,الأقصر,مصري ويوناني وروماني,20.0,20.0,700,350.0,من 6ص إلى 5م
مقبرة رمسيس الخامس والسادس - KV9,الأقصر,مصري ويوناني وروماني,30.0,20.0,200,200.0,من 6ص إلى 5م
مقبرة سيتي الأول - KV17,الأقصر,مصري ويوناني وروماني,500.0,250.0,2000,,من 6ص إلى 5م
مقبرة آي - KV23,الأقصر,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 6ص إلى 5م
الدير البحري - حتشبسوت,الأقصر,مصري ويوناني وروماني,20.0,10.0,200,100.0,من 6ص إلى 5م
دير المدينة,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,100.0,من 6ص إلى 5م
مقبرة باشدو,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,100.0,من 6ص إلى 5م
معبد هابو - مدينة هابو,الأقصر,مصري ويوناني وروماني,10.0,10.0,100,100.0,من 6ص إلى 5م
وادي الملكات,الأقصر,مصري ويوناني وروماني,30.0,20.0,100,100.0,من 6ص إلى 5م
مقبرة نفرتاري - QV66,الأقصر,مصري ويوناني وروماني,100.0,300.0,2500,,من 6ص إلى 5م
مقبرة رعموزا - TT55,الأقصر,مصري ويوناني وروماني,10.0,20.0,100,20.0,من 6ص إلى 5م
معبد الرامسيوم,الأقصر,مصري ويوناني وروماني,10.0,10.0,100,100.0,من 6ص إلى 5م
بيت كارتر ونموذج مقبرة توت عنخ آمون,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,100.0,من 6ص إلى 5م
مقبرة مننا وخنت,الأقصر,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 6ص إلى 5م
مقبرتا رخمي رع وسن نفر,الأقصر,مصري ويوناني وروماني,50.0,50.0,200,200.0,من 6ص إلى 5م
معبد سيتي الأول - الأقصر,الأقصر,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 6ص إلى 5م
مقبرة أوسرحات وخنسو,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 6ص إلى 5م
العساسيف,الأقصر,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 6ص إلى 5م
مقبرة باباسا,الأقصر,مصري ويوناني وروماني,50.0,,100,50.0,من 6ص إلى 5م
مقابر الخوخة,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 6ص إلى 5م
مقابر جراع أبو النجا الشمالي - روي وشروي,الأقصر,مصري ويوناني وروماني,10.0,10.0,100,10.0,من 6ص إلى 5م
مقابر جراع أبو النجا الجنوبي,الأقصر,مصري ويوناني وروماني,10.0,10.0,50,15.0,من 6ص إلى 5م
معبد إيزيس بدير شلويط,الأقصر,مصري ويوناني وروماني,10.0,5.0,150,120.0,من 6ص إلى 5م
جبانة قرنة مرعي,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 6ص إلى 5م
معبد مرنبتاح,الأقصر,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 6ص إلى 5م
متحف التحنيط - الأقصر,الأقصر,متحف,10.0,5.0,100,100.0,من 9ص إلى 6م وكذلك 5م-9م
متحف الأقصر,الأقصر,متحف,30.0,20.0,200,100.0,من 9ص إلى 9م وكذلك 5م-9م
